ranking,name,score,score_num,quote,link
210,步履不停,8.8,127902,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
211,小萝莉的猴神大叔,8.5,248776,宝莱坞的萝莉与大叔。,https://movie.douban.com/subject/26393561/
212,新龙门客栈,8.5,243587,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
213,再次出发之纽约遇见你,8.5,231562,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
214,撞车,8.6,211748,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
215,海蒂和爷爷,9.1,85302,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
216,爱在午夜降临前,8.8,156438,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
217,梦之安魂曲,8.7,138797,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
218,无耻混蛋,8.5,278913,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
219,东京物语,9.2,67917,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
220,城市之光,9.3,61002,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
221,彗星来的那一夜,8.5,257224,小成本大魅力。,https://movie.douban.com/subject/25807345/
222,绿里奇迹,8.7,137328,天使暂时离开。,https://movie.douban.com/subject/1300374/
223,2001太空漫游,8.7,138246,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
224,血钻,8.6,181884,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
225,这个男人来自地球,8.5,235154,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/
226,E.T. 外星人,8.5,201394,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
227,末路狂花,8.7,131608,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
228,功夫,8.3,418957,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
229,聚焦,8.8,164520,新闻人的理性求真。,https://movie.douban.com/subject/25954475/
230,变脸,8.4,262248,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://movie.douban.com/subject/1292659/
231,勇闯夺命岛,8.6,174744,类型片的极致。 ,https://movie.douban.com/subject/1292728/
232,发条橙,8.5,228319,我完全康复了。,https://movie.douban.com/subject/1292233/
233,黑鹰坠落,8.6,158957,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/
234,黄金三镖客,9.1,67437,最棒的西部片。,https://movie.douban.com/subject/1401118/
235,秒速5厘米,8.3,391252,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
236,非常嫌疑犯,8.6,154114,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
237,我爱你,9.0,79489,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
238,国王的演讲,8.4,419199,皇上无话儿。,https://movie.douban.com/subject/4023638/
239,奇迹男孩,8.6,293281,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
240,卡萨布兰卡,8.6,153736,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,https://movie.douban.com/subject/1296753/
241,疯狂的麦克斯4：狂暴之路,8.6,275007,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
242,千钧一发,8.7,121631,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
243,遗愿清单,8.6,176666,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
244,美国丽人,8.5,228357,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
245,驴得水,8.3,467969,过去的如果就让它过去了，未来只会越来越糟！,https://movie.douban.com/subject/25921812/
246,荒岛余生,8.5,175582,一个人的独角戏。,https://movie.douban.com/subject/1298653/
247,四个春天,8.9,76524,来也匆匆去也匆匆，就这样风雨兼程。,https://movie.douban.com/subject/27191492/
248,碧海蓝天,8.7,120554,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
249,新世界,8.7,129171,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
250,枪火,8.7,127846,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
